
name,description,price
CÁMARA GOPRO HERO 11 BLACK,GOPRO,549.990
CAMARA CANON T7 + 18-55,CANON,549.990
KIT CAMARA CANON EOS REBEL T100 + LENTES 18-55MM Y 75-300,CANON,599.990
CAMARA SONY DIGITAL ZV-E10L E38,SONY,949.990
CAMARA CANON REBEL T100 + LENTE 18-55,CANON,499.990
CAMARA SONY ILCE-6400 NEGRA,SONY,1.169.990
CAMARA SONY ILCE-7M3K + LENTE 28-70 MM,SONY,2.599.990
CAMARA GOPRO HERO 10 BLACK,GOPRO,534.990
Z-50 C/LTE. 16-50MM + BOLSO + SD 32 GB,NIKON,1.349.900
CAMARA SONY ILCE-7M3 NEGRA,SONY,2.199.990
CAMARA GOPRO HERO 9 BLACK,GOPRO,449.990
CAMARA CANON T8I 18-55MM,CANON,919.990
CAMARA CANON EOS 90D 18-135 MM,CANON,1.699.990
Z-5 C/LTE. 24-50MM Z + SD 64 GB + MOCHILA NIKON,NIKON,1.809.700
CAMARA HÍBRIDA SONY FULL-FRAME ALPHA 7 IV,SONY,2.749.990
CAMARA HÍBRIDA SONY ILCE-7M4K FULL-FRAME ALPHA 7 IV,SONY,3.149.990
CAMARA CANON EOS R 24-105 STM,CANON,2.099.990
SONY CÁMARA COMPACTA CON ZOOM ÓPTICO DE 8X DSC W830,SONY,139.990
CAMARA CANON EOS R BODY,CANON,1.799.990
CAMARA CANON EOS R6 24-105 STM,CANON,2.899.990
CÁMARA VLOG ZV-1,SONY,759.990
Z-30 C/LTE 16-50MM Z + SD 64 GB + MICROFONO + MOCHILA NIKON,NIKON,1.229.900
CAMARA CANON EOS M200 15-45 MM,CANON,549.990
Z-30 C/LTE 16-50MM + 50-250MM Z + SD 64 GB + MICROFONO + MOCHILA NIKON,NIKON,1.570.900
CAMARA CANON EOS RP BODY,CANON,1.199.990
KIT MINI 11 SKY BLUE + FILM 10 + ALBUM,FUJI,94.990
CAMARA CANON EOS RP 24-105 STM,CANON,1.399.990
CAMARA CANON EOS R6 BODY,CANON,2.599.990
KIT MINI 11 LILAC + FILM 10 + ALBUM + MAGNETICO,FUJI,94.990
CAMARA CANON EOS M50 MK II 15-45 MM,CANON,699.990
CAMARA CANON EOS REBEL SL3 18-55 IS STM,CANON,749.990
CANON MIRRORLESS EOS R + LENTE 24-105 F/4,CANON,4.318.990
KIT MINI 11 B. PINK + FILM 10 + ALBUM,FUJI,94.990
CÁMARA DEPORTIVA GOPRO HERO 9 BLACK HYPERSMOOTH 3.0,GO PRO,499.990
CÁMARA DEPORTIVA 4K LHOTSE H1 VIDEO CON ACCESORIOS,LHOTSE,59.990
CÁMARA CANON EOS M50 MARK II EF-M + LENTE 15-45MM F/3.5-6.3,CANON,880.990
CANON REBEL T7 + LENTE EF-S 18-55MM F/3.5-5.6 IS II,CANON,705.990
HANDYCAM® 4K AX53 CON SENSOR EXMOR R® CMOS,SONY,1.119.990
SONY HANDYCAM CON SENSOR EXMOR R HDR-CX405,SONY,249.990
D-3500 C/LTE 18-55MM + 70-300MM + MOCHILA NIKON + SD 32 GB + TRIPODE,NIKON,899.900
VIDEOCÁMARA FDR-AX700 4K HDR,SONY,1.929.990
CÁMARA ZV-1 BLANCA PARA VIDEOBLOGS,SONY,759.990
NIKON Z-50 BODY + BOLSO + SD 32 GB,NIKON,955.900
ILCE-7M2 SÓLO CUERPO DE ILC FULL FRAME (NO INCLUYE LENTE),SONY,1.419.990
CÁMARA ILCE-6400M CON MONTURA E Y SENSOR APS-C,SONY,1.319.990
CÁMARA APS-C ILCE-6100Y CON ENFOQUE AUTOMÁTICO RÁPIDO,SONY,1.119.990
CÁMARA ILCE-6400L CON MONTURA E Y SENSOR APS-C,SONY,1.019.989
CÁMARA FULL-FRAME ILCE-9M2 CON CAPACIDAD PROFESIONAL,SONY,4.579.990
name,description,price
CÁMARA GOPRO HERO 11 BLACK,GOPRO,549.990
CAMARA CANON T7 + 18-55,CANON,549.990
KIT CAMARA CANON EOS REBEL T100 + LENTES 18-55MM Y 75-300,CANON,599.990
CAMARA SONY DIGITAL ZV-E10L E38,SONY,949.990
CAMARA CANON REBEL T100 + LENTE 18-55,CANON,499.990
CAMARA SONY ILCE-6400 NEGRA,SONY,1.169.990
CAMARA SONY ILCE-7M3K + LENTE 28-70 MM,SONY,2.599.990
CAMARA GOPRO HERO 10 BLACK,GOPRO,534.990
Z-50 C/LTE. 16-50MM + BOLSO + SD 32 GB,NIKON,1.349.900
CAMARA SONY ILCE-7M3 NEGRA,SONY,2.199.990
CAMARA GOPRO HERO 9 BLACK,GOPRO,449.990
CAMARA CANON T8I 18-55MM,CANON,919.990
CAMARA CANON EOS 90D 18-135 MM,CANON,1.699.990
Z-5 C/LTE. 24-50MM Z + SD 64 GB + MOCHILA NIKON,NIKON,1.809.700
CAMARA HÍBRIDA SONY FULL-FRAME ALPHA 7 IV,SONY,2.749.990
CAMARA HÍBRIDA SONY ILCE-7M4K FULL-FRAME ALPHA 7 IV,SONY,3.149.990
CAMARA CANON EOS R 24-105 STM,CANON,2.099.990
SONY CÁMARA COMPACTA CON ZOOM ÓPTICO DE 8X DSC W830,SONY,139.990
CAMARA CANON EOS R BODY,CANON,1.799.990
CAMARA CANON EOS R6 24-105 STM,CANON,2.899.990
CÁMARA VLOG ZV-1,SONY,759.990
Z-30 C/LTE 16-50MM Z + SD 64 GB + MICROFONO + MOCHILA NIKON,NIKON,1.229.900
CAMARA CANON EOS M200 15-45 MM,CANON,549.990
Z-30 C/LTE 16-50MM + 50-250MM Z + SD 64 GB + MICROFONO + MOCHILA NIKON,NIKON,1.570.900
CAMARA CANON EOS RP BODY,CANON,1.199.990
KIT MINI 11 SKY BLUE + FILM 10 + ALBUM,FUJI,94.990
CAMARA CANON EOS RP 24-105 STM,CANON,1.399.990
CAMARA CANON EOS R6 BODY,CANON,2.599.990
KIT MINI 11 LILAC + FILM 10 + ALBUM + MAGNETICO,FUJI,94.990
CAMARA CANON EOS M50 MK II 15-45 MM,CANON,699.990
CAMARA CANON EOS REBEL SL3 18-55 IS STM,CANON,749.990
CANON MIRRORLESS EOS R + LENTE 24-105 F/4,CANON,4.318.990
KIT MINI 11 B. PINK + FILM 10 + ALBUM,FUJI,94.990
CÁMARA DEPORTIVA GOPRO HERO 9 BLACK HYPERSMOOTH 3.0,GO PRO,499.990
CÁMARA DEPORTIVA 4K LHOTSE H1 VIDEO CON ACCESORIOS,LHOTSE,59.990
CÁMARA CANON EOS M50 MARK II EF-M + LENTE 15-45MM F/3.5-6.3,CANON,880.990
CANON REBEL T7 + LENTE EF-S 18-55MM F/3.5-5.6 IS II,CANON,705.990
HANDYCAM® 4K AX53 CON SENSOR EXMOR R® CMOS,SONY,1.119.990
SONY HANDYCAM CON SENSOR EXMOR R HDR-CX405,SONY,249.990
